Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
511145|U28377.1 Escherichia coli K-12 genome; approximately 65 to 68 minutes,222992,6449,141744,45.28,47.56,95.2,210.26,307584.48,204368.51,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"4932|U32274.1 Saccharomyces cerevisiae chromosome IV cosmids 9481, 9509, 9926, 9461, and lambda 3641",50576,2518,55359,44.94,47.45,94.71,210.75,54251.82,43497.12,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|D63817.1 Saccharomyces cerevisiae genes for Pho86, NCA3, complete and partial cds",5652,128,2822,84.94,88.91,95.54,112.48,5982.64,5278.18,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"83333|D64044.1 Escherichia coli K-12 genes for MCLA protein, L-aspartate oxidase, uracil DNA glycosylase, putative ATP dependent RNA helicase, GTP binding protein, recO protein, YFHB-ECOLI protein, YFHC-ECOLI protein, ribonuclease III, RNA polymerase sigma E, hypothetical 67KD protein, signal peptidase I, lepA protein and hypothetical proteins, complete and partial cds",17318,1331,29254,64.05,69.43,92.26,144.04,27498.76,13704.65,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
4932|Z49380.1 S.cerevisiae chromosome X reading frame ORF YJL105w,3312,181,3999,52.96,54.34,97.47,184.03,2159.46,2804.01,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|Z49389.1 S.cerevisiae chromosome X reading frame ORF YJL114w,5266,372,8176,26.59,29.66,89.65,337.15,4415.04,4248.1,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z49638.1 S.cerevisiae chromosome X reading frame ORF YJR138w,15624,280,6159,79.1,82.24,96.19,121.6,16444.53,14803.0,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|U39204.1 Saccharomyces cerevisiae poly(A)-binding protein dependent poly(A)-ribonuclease subunit (PAN2) gene, complete cds",11386,296,6520,91.93,98.67,93.18,101.35,12844.4,10526.1,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|L36344.1 Saccharomyces cerevisiae tRNA-Met, tRNA-Ser, tRNA-Gly genes and 24 ORFs",30158,1933,42500,34.36,36.13,95.09,276.78,34000.0,24822.56,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
1639|X92951.1 L.monocytogenes 23S rRNA gene,2608,121,2660,79.66,86.2,92.41,116.01,5479.6,2266.36,1e-26,186820,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Listeriaceae,,
4932|Z71296.1 S.cerevisiae chromosome XIV reading frame ORF YNL020c,4164,137,3028,80.91,86.66,93.37,115.4,4239.2,3768.31,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z71301.1 S.cerevisiae chromosome XIV reading frame ORF YNL025c,2824,169,3732,81.24,85.66,94.84,116.73,3209.52,2353.08,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z71302.1 S.cerevisiae chromosome XIV reading frame ORF YNL026w,2556,122,2703,83.06,85.98,96.6,116.31,2324.58,2209.61,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|Z71444.1 S.cerevisiae chromosome XIV reading frame ORF YNL168c,1950,103,2267,63.74,66.34,96.08,150.73,1496.22,1661.27,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z72655.1 S.cerevisiae chromosome VII reading frame ORF YGL133w,5298,209,4615,66.15,69.25,95.53,144.4,7153.25,4700.04,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z72729.1 S.cerevisiae chromosome VII reading frame ORF YGL207w,4992,180,3957,72.81,76.9,94.68,130.04,4787.97,4476.91,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z72747.1 S.cerevisiae chromosome VII reading frame ORF YGL225w,3504,195,4303,65.84,69.53,94.69,143.82,3528.4599999999996,2958.05,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z72758.1 S.cerevisiae chromosome VII reading frame ORF YGL236c,2198,134,2952,58.33,60.64,96.2,164.92,1800.72,1825.97,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z72817.1 S.cerevisiae chromosome VII reading frame ORF YGR032w,20740,308,6778,75.45,76.78,98.27,130.25,23248.54,19832.83,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|Z73063.1 S.cerevisiae chromosome VII reading frame ORF YGR278w,1640,101,2236,67.31,69.54,96.78,143.79,1565.1999999999998,1358.54,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|U51031.1 Saccharomyces cerevisiae chromosome IV cosmid 9819,33478,1134,24942,61.08,63.88,95.63,156.55,42401.4,30222.08,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|U50561.1 Saccharomyces cerevisiae Sap190p (SAP190) gene, complete cds",5534,212,4662,59.05,62.21,94.93,160.76,8065.26,4928.92,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z74793.1 S.cerevisiae chromosome XV reading frame ORF YOL051w,7570,226,4982,71.8,79.08,90.79,126.45,8070.84,6916.28,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z75253.1 S.cerevisiae chromosome XV reading frame ORF YOR345c,11132,312,6872,71.51,74.81,95.58,133.67,15324.56,10228.09,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z75285.1 S.cerevisiae chromosome XV reading frame ORF YOR377w,9238,270,5951,75.74,79.72,95.0,125.44,11425.92,8456.49,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z74188.1 S.cerevisiae chromosome IV reading frame ORF YDL140c,34080,284,6263,89.75,91.06,98.56,109.82,35573.84,33234.51,1e-26,4932,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae
"316407|D86239.1 Escherichia coli genes for MhpR, MhpA, MhpB, MhpC, MhpD, MhpE and MhpF, complete sequence of the mhp operon",7584,331,7294,81.86,87.92,93.11,113.74,9336.32,6643.97,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"83333|U49400.1 Escherichia coli porin (ompG) gene, complete cds",1332,118,2605,56.12,59.73,93.96,167.42,1563.0,1015.14,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"4932|U40390.1 Saccharomyces cerevisiae D-arabinono-1,4-lactone oxidase gene, complete cds",3318,119,2622,85.51,91.04,93.93,109.84,4195.2,2976.64,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Y14279.1 Saccharomyces cerevisiae scc2 gene,6358,459,10092,59.26,66.53,89.08,150.31,11303.04,5104.09,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"1081927|AF116557.1 Pseudomonas aeruginosa PchG (pchG) gene, complete cds",618,47,1050,62.0,66.29,93.53,150.86,693.0,488.38,1e-26,135621,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
"1613|AF090993.1 Lactobacillus fermentum D-2-hydroxyacid dehydrogenase (hda) gene, partial cds",2592,35,773,98.84,100.52,98.33,99.49,5287.32,2488.36,1e-26,2742598,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,
"1086030|AF141323.1 Shigella flexneri SHI-2 pathogenicity island, complete sequence",19608,1081,23771,25.91,27.06,95.76,369.57,25434.97,16589.26,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
1639|AJ012339.1 Listeria monocytogenes NotI restriction site number three and flanking sequences,572,45,996,93.27,103.61,90.02,96.51,2918.28,449.35,1e-26,186820,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Listeriaceae,,
"119912|AB040415.1 Salmonella enterica serovar Choleraesuis 50k virulence plasmid DNA, complete sequence",226600,2252,49503,63.46,67.06,94.63,149.12,297513.02999999997,219931.31,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"5207|AB040655.1 Cryptococcus neoformans mitochondrial cytb gene for cytochrome b, partial cds, strain: IFM 48637",512,18,396,96.72,106.06,91.19,94.29,764.28,460.39,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"1351|AB059405.1 Enterococcus faecalis gyrB and gyrA genes for DNA gyrase B subunit, DNA gyrase A subunit, complete cds",87616,282,6219,95.27,96.62,98.6,103.49,114927.12000000001,86770.71,1e-26,1351,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
"226185|AE016830.1 Enterococcus faecalis V583, complete genome",9556812,146248,3218031,19.39,20.56,94.32,486.39,13580090.819999998,9126883.29,1e-26,81852,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,,
"40410|AY421725.1 Cryptococcus neoformans var. neoformans Cas33p (CAS33) gene, complete cds",6194,155,3417,94.21,101.49,92.82,98.53,7722.419999999999,5742.78,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"40410|AF542530.2 Cryptococcus neoformans var. neoformans strain JEC20 mating type a locus, complete sequence",535524,6736,148067,90.42,94.03,96.16,106.34,650014.13,515647.83,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"212404|AY934733.1 Uncultured saccharomycete isolate G03_Platte42_020 18S ribosomal RNA gene, partial sequence",488,22,500,82.8,85.0,97.41,117.65,425.0,423.8,1e-26,4891,Eukaryota,Fungi,Ascomycota,Saccharomycetes,unk_o,unk_f,unk_g,
"321314|AE017220.1 Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67, complete genome",40827400,215245,4755700,80.29,83.43,96.24,119.87,55927032.0,40186178.16,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"40410|DQ007943.1 Cryptococcus neoformans var. neoformans isolate CBS6885 intergenic spacer 1 and 5S ribosomal RNA gene, complete sequence; and intergenic spacer 2, partial sequence",30262,89,1964,99.95,100.0,99.95,100.0,39515.68,29994.95,1e-26,5207,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans
"4932|DQ116821.1 Saccharomyces cerevisiae strain YJM1129 TAO3p gene, complete cds",12228,324,7131,71.2,74.94,95.0,133.44,11766.15,11288.11,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"1280|DQ157969.1 Staphylococcus aureus strain D410 putative C-N hydrolase gene, partial cds; Hld (hld) gene, complete cds; accessory gene regulator gene locus, complete sequence; and putative fructokinase gene, partial cds",3526,244,5384,76.91,82.82,92.87,120.74,5114.8,2854.7,1e-26,90964,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
"32630|DQ331544.1 Synthetic construct Saccharomyces cerevisiae clone FLH203028.01X RPO41 gene, complete sequence",6778,184,4056,89.47,96.25,92.96,103.89,8233.679999999998,6243.89,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,,
"32630|DQ331575.1 Synthetic construct Saccharomyces cerevisiae clone FLH202729.01X APE2 gene, complete sequence",7478,145,3191,78.13,80.98,96.48,123.49,8041.32,7053.47,1e-26,,unk_sk,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
"559292|NM_001183761.3 Saccharomyces cerevisiae S288c DNA-directed RNA polymerase I core subunit RPA190 (RPA190), partial mRNADQ331603.1 Synthetic construct Saccharomyces cerevisiae clone FLH203019.01X RPA190 gene, complete sequence",15802,227,4995,89.37,91.91,97.23,108.8,15584.4,15133.03,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"559292|NM_001183940.1 Saccharomyces cerevisiae S288c Nan1p (NAN1), partial mRNADQ332693.1 Synthetic construct Saccharomyces cerevisiae clone FLH147295.01X NAN1 gene, complete sequence",2108,122,2691,56.52,57.86,97.69,172.83,1560.78,1767.55,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|X56909.1 S.cerevisiae 8.2 kb segment left of MAT,13988,376,8280,58.73,60.46,97.14,165.4,18878.399999999998,12897.24,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|X15428.1 Yeast STE6 gene for multidrug-resistance P-glycoprotein,18824,227,5000,94.62,96.98,97.57,103.11,22150.0,18152.33,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
4932|V00696.1 Yeast (S. cerevisiae) mitochondrial gene for cytochrome B extending from map position 71.3 to 80.2. (Strain D273-10B.),3204,285,6264,56.27,60.41,93.16,165.54,6514.56,2442.05,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
90371|X56727.1 S. typhimurium plasmid pSDL2 vsdA-F genes for virulence proteins,10626,376,8279,66.43,70.35,94.44,142.15,15316.150000000001,9547.44,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
4932|X75561.1 S.cerevisiae MBR1 gene for MBR1,2052,157,3463,71.93,75.05,95.84,133.24,2597.25,1624.22,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"83333|X77091.1 E.coli fms, fmt, fmu, fmv, smf, smg and trkA genes",5068,267,5878,78.94,83.58,94.44,119.64,6171.900000000001,4319.24,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
4932|Z28192.1 S.cerevisiae chromosome XI reading frame ORF YKL192c,1064,52,1152,64.06,66.41,96.47,150.59,760.32,916.59,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"4932|X77395.1 S.cerevisiae N2019, N2021, N2023, N2025, N2027, N2031, N2048 and N2050 genes",18582,1087,23901,69.01,74.61,92.49,134.03,32027.34,15559.86,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|X76245.1 S.cerevisiae NOP77 gene for essential nucleolar protein,1540,139,3065,55.27,57.68,95.81,173.36,1777.6999999999998,1167.93,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z35953.1 S.cerevisiae chromosome II reading frame ORF YBR084w,3232,243,5356,61.59,64.12,96.07,155.97,3427.84,2569.22,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|X79811.1 S.cerevisiae ACT3 gene,7294,204,4500,78.89,84.73,93.1,118.02,9044.999999999998,6702.08,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z46659.1 S.cerevisiae chromosome XIII cosmid 8337,36886,1570,34506,49.28,52.52,93.83,190.4,41062.14,32432.09,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z46881.1 S.cerevisiae chromosome IX cosmid 3299,40384,1409,30977,58.09,61.05,95.16,163.81,57926.990000000005,36345.56,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|X77291.1 S.cerevisiae YBL0421, YBL0438, YBL0418, YBL0422, YBL0423, YBL0426, YBL0425, YBL0424, and YBL0437 genes",18854,823,18100,54.83,57.59,95.21,173.65,23711.0,16521.09,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z49210.1 S.cerevisiae chromosome XIII cosmid 8339,25850,1254,27559,42.77,45.36,94.27,220.44,28936.95,22320.06,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z49219.1 S.cerevisiae chromosome XVI cosmid 9499,87158,1991,43776,71.02,74.39,95.46,134.42,109877.76,81360.31,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z49704.1 S.cerevisiae chromosome XIII cosmid 8021,23274,1404,30871,30.71,32.21,95.34,310.45,29944.87,19379.69,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z49919.1 S.cerevisiae chromosome XVI cosmid 9531,31938,1236,27166,74.41,80.11,92.88,124.83,41020.66,28413.87,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z49331.1 S.cerevisiae chromosome X reading frame ORF YJL056c,4564,147,3235,76.04,81.14,93.71,123.24,4270.2,4140.79,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z49637.1 S.cerevisiae chromosome X reading frame ORF YJR137c,17674,266,5860,84.78,88.46,95.83,113.04,21213.2,16889.92,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|X92441.1 S.cerevisiae 33kb fragment from the right arm of chromosome XV,58920,1509,33173,60.05,62.51,96.07,159.97,75966.17,54542.46,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
1280|X76490.1 S.aureus (bb270) glnA and glnR genes,1844,127,2812,57.57,61.2,94.07,163.39,1715.32,1493.35,1e-26,90964,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
4932|X94547.1 S.cerevisiae 12.8 kb DNA from left arm of chromosome XIV,9640,585,12857,65.7,69.21,94.93,144.49,10671.31,8018.81,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|Z69382.1 S.cerevisiae 37,800 bp segment of chromosome XIV",48666,1719,37800,50.91,54.0,94.28,185.19,54432.0,43740.88,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|M94164.1 S.cerevisciae TY4 retrotransposon endogenous protease, integrase, reverse transcriptase protein (TY4B) gene, complete cds and gag protein (TY4A) pseudogene",3792,306,6727,41.98,44.67,93.98,223.86,6188.84,2965.16,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|X89633.1 S.cerevisiae DNA for VPH1, MOD5, CAP20, ORF1 and SNF2 genes",23330,1714,37672,38.22,40.35,94.72,247.86,29007.440000000002,18656.79,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z72652.1 S.cerevisiae chromosome VII reading frame ORF YGL130w,19944,274,6027,81.75,83.57,97.82,119.65,28507.710000000003,19136.15,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
